2020-04-01 01:09:00,KT Corporation,,434
2020-04-01 01:42:00,Vodafone,,61
2020-04-01 05:56:00,SK Telecom,,231
2020-04-01 09:58:00,Telstra,,195
2020-04-01 11:46:00,China Mobile,,250
2020-04-01 12:01:00,Telefonica,,222
2020-04-01 17:13:00,SK Telecom,,393
2020-04-01 17:15:00,China Communications Services,,229
2020-04-01 19:32:00,Saudi Telecom,,411
2020-04-01 21:30:00,KT Corporation,,484
2020-04-01 22:23:00,Orange,,16
2020-04-01 22:35:00,ATT,,333
2020-04-02 03:13:00,ATT,,481
2020-04-02 06:29:00,BCE,,111
2020-04-02 10:06:00,Saudi Telecom,,15
2020-04-02 14:37:00,Soft Bank,,392
2020-04-02 18:22:00,BT Group,,284
2020-04-02 20:22:00,Charter Communications,,119
2020-04-03 02:09:00,Soft Bank,,390
2020-04-03 06:05:00,America Movil,,475
2020-04-03 06:17:00,China Unicom,,429
2020-04-03 11:02:00,Telstra,,52
2020-04-03 12:38:00,Telstra,,371
2020-04-03 15:10:00,China Mobile,,381
2020-04-03 18:01:00,Saudi Telecom,,499
2020-04-03 22:18:00,China Unicom,,260
2020-04-04 04:02:00,China Telecom,,156
2020-04-04 06:28:00,KT Corporation,,499
2020-04-04 10:44:00,Lumen,,202
2020-04-04 15:46:00,Verizon Communications,,246
2020-04-04 17:51:00,Saudi Telecom,,409
2020-04-04 21:18:00,China Unicom,,341
2020-04-04 22:47:00,Charter Communications,,281
2020-04-05 04:47:00,SK Telecom,,346
2020-04-05 07:59:00,Deutsche Telekom,,225
2020-04-05 13:39:00,Lumen,,56
2020-04-05 15:03:00,Lumen,,431
2020-04-05 18:25:00,Charter Communications,,251
2020-04-05 18:41:00,BT Group,,23
2020-04-05 21:19:00,China Communications Services,,435
2020-04-06 02:34:00,KT Corporation,,297
2020-04-06 05:56:00,Telstra,,88
2020-04-06 07:23:00,Lumen,,117
2020-04-06 07:30:00,SK Telecom,,103
2020-04-06 12:07:00,Gruppo TIM,,119
2020-04-06 15:35:00,Lumen,,177
2020-04-06 20:31:00,Charter Communications,,236
2020-04-06 22:49:00,BCE,,281
2020-04-07 04:01:00,Saudi Telecom,,3
2020-04-07 07:18:00,SFR,,439
2020-04-07 11:41:00,SFR,,67
2020-04-07 16:07:00,SK Telecom,,288
2020-04-07 17:53:00,China Unicom,,487
2020-04-07 18:22:00,BT Group,,446
2020-04-07 21:29:00,KT Corporation,,284
2020-04-07 23:12:00,Lumen,,212
2020-04-08 03:21:00,Charter Communications,,213
2020-04-08 06:19:00,ATT,,276
2020-04-08 10:56:00,Vivendi,,403
2020-04-08 16:10:00,Orange,,235
2020-04-08 21:18:00,ATT,,412
2020-04-08 23:16:00,Telstra,,91
2020-04-09 03:58:00,KT Corporation,,93
2020-04-09 04:45:00,SFR,,283
2020-04-09 06:56:00,Verizon Communications,,431
2020-04-09 12:41:00,Deutsche Telekom,,43
2020-04-09 12:50:00,KDDI,,8
2020-04-09 15:14:00,Soft Bank,,138
2020-04-09 16:11:00,SFR,,320
2020-04-09 17:46:00,Charter Communications,,149
2020-04-09 18:22:00,Comcast,,82
2020-04-09 20:33:00,Lumen,,488
2020-04-09 22:00:00,BCE,,140
2020-04-10 03:32:00,China Communications Services,,151
2020-04-10 07:25:00,China Communications Services,,165
2020-04-10 11:40:00,BT Group,,59
2020-04-10 11:53:00,America Movil,,198
2020-04-10 14:49:00,China Unicom,,408
2020-04-10 16:26:00,Vodafone,,56
2020-04-10 18:36:00,Saudi Telecom,,262
2020-04-10 20:24:00,Vivendi,,222
2020-04-10 20:35:00,Soft Bank,,10
2020-04-10 23:59:00,Nippon Telegraph and Telephone,,19
2020-04-11 01:22:00,KDDI,,361
2020-04-11 05:42:00,BCE,,219
2020-04-11 10:21:00,Soft Bank,,500
2020-04-11 15:44:00,SFR,,356
2020-04-11 20:09:00,KDDI,,115
2020-04-12 00:38:00,Telstra,,16
2020-04-12 04:01:00,BCE,,295
2020-04-12 06:46:00,BCE,,324
2020-04-12 10:25:00,Verizon Communications,,378
2020-04-12 12:58:00,Nippon Telegraph and Telephone,,496
2020-04-12 14:47:00,Verizon Communications,,157
2020-04-12 15:24:00,Deutsche Telekom,,159
2020-04-12 17:57:00,Saudi Telecom,,82
2020-04-12 21:31:00,KT Corporation,,130
2020-04-12 22:38:00,ATT,,288
2020-04-12 22:58:00,KT Corporation,,420
2020-04-13 00:50:00,KT Corporation,,236
2020-04-13 02:18:00,SK Telecom,,361
2020-04-13 07:37:00,Lumen,,20
2020-04-13 10:51:00,China Telecom,,178
2020-04-13 11:42:00,China Telecom,,294
2020-04-13 17:28:00,China Unicom,,303
2020-04-13 19:08:00,BT Group,,54
2020-04-14 00:49:00,Telefonica,,152
2020-04-14 05:08:00,BT Group,,9
2020-04-14 07:55:00,Vivendi,,447
2020-04-14 11:21:00,America Movil,,10
2020-04-14 12:42:00,China Telecom,,440
2020-04-14 15:30:00,SFR,,289
2020-04-14 16:40:00,Orange,,220
2020-04-14 18:30:00,Vodafone,,346
2020-04-14 19:20:00,Telefonica,,478
2020-04-15 00:01:00,Charter Communications,,469
2020-04-15 05:53:00,Gruppo TIM,,249
2020-04-15 10:26:00,Soft Bank,,34
2020-04-15 10:47:00,Deutsche Telekom,,69
2020-04-15 12:14:00,Comcast,,467
2020-04-15 16:50:00,China Telecom,,138
2020-04-15 19:41:00,Vivendi,,260
2020-04-15 21:52:00,Charter Communications,,174
2020-04-16 00:47:00,China Mobile,,150
